Postcode,Latitude,Longitude,LSOA Code,LSOA Name
EH3 7AH,55.948404,-3.213407,S01008868,Deans Village - 01
EH3 7AL,55.949086,-3.211667,S01008868,Deans Village - 01
EH3 7AT,55.948899,-3.212350,S01008868,Deans Village - 01
EH3 7AU,55.949360,-3.211180,S01008868,Deans Village - 01
EH3 7BD,55.949953,-3.212047,S01008868,Deans Village - 01
EH3 7BJ,55.950146,-3.211636,S01008868,Deans Village - 01
EH3 7BR,55.949730,-3.210999,S01008868,Deans Village - 01
EH3 7DD,55.947924,-3.214641,S01008871,Deans Village - 04
EH3 7DH,55.948145,-3.214120,S01008871,Deans Village - 04
EH3 7DS,55.948243,-3.215084,S01008871,Deans Village - 04
EH3 7DX,55.948641,-3.214808,S01008868,Deans Village - 01
EH3 7EB,55.949393,-3.216017,S01008868,Deans Village - 01
EH3 7EG,55.950102,-3.217032,S01008869,Deans Village - 02
EH3 7EH,55.949925,-3.217651,S01008869,Deans Village - 02
EH3 7EN,55.949521,-3.217606,S01008869,Deans Village - 02
EH3 7HA,55.949910,-3.212814,S01008868,Deans Village - 01
EH3 7HF,55.949075,-3.214565,S01008868,Deans Village - 01
EH3 7HL,55.949366,-3.215151,S01008868,Deans Village - 01
EH3 7HR,55.950042,-3.214932,S01008868,Deans Village - 01
EH3 7HW,55.949703,-3.214633,S01008868,Deans Village - 01
EH3 7HX,55.950227,-3.214345,S01008868,Deans Village - 01
EH3 7JA,55.950036,-3.213747,S01008868,Deans Village - 01
EH3 7JD,55.949568,-3.214709,S01008868,Deans Village - 01
