Postcode,Latitude,Longitude,LSOA Code,LSOA Name
EH3 5ER,55.960499,-3.199498,S01008855,Canonmills and New Town North - 03
EH3 5ES,55.960866,-3.200566,S01008855,Canonmills and New Town North - 03
EH3 5ET,55.961354,-3.200261,S01008856,Canonmills and New Town North - 04
EH3 5EU,55.961664,-3.198925,S01008856,Canonmills and New Town North - 04
EH3 5EW,55.961237,-3.199393,S01008856,Canonmills and New Town North - 04
EH3 5EX,55.961517,-3.198296,S01008855,Canonmills and New Town North - 03
EH3 5EY,55.962108,-3.197577,S01008856,Canonmills and New Town North - 04
EH3 5EZ,55.962122,-3.197081,S01008856,Canonmills and New Town North - 04
EH3 5FA,55.961670,-3.198221,S01008855,Canonmills and New Town North - 03
EH3 5FB,55.961387,-3.202377,S01008857,Stockbridge - 01
EH3 5HA,55.962377,-3.197634,S01008856,Canonmills and New Town North - 04
EH3 5HB,55.962334,-3.199266,S01008856,Canonmills and New Town North - 04
EH3 5HD,55.961938,-3.199366,S01008856,Canonmills and New Town North - 04
EH3 5HE,55.961972,-3.198614,S01008856,Canonmills and New Town North - 04
EH3 5HN,55.961996,-3.202652,S01008857,Stockbridge - 01
EH3 5HP,55.961593,-3.206147,S01008857,Stockbridge - 01
EH3 5HR,55.961934,-3.206206,S01008857,Stockbridge - 01
EH3 5HS,55.962158,-3.206293,S01008857,Stockbridge - 01
EH3 5HT,55.961830,-3.206699,S01008857,Stockbridge - 01
EH3 5HU,55.961790,-3.207179,S01008857,Stockbridge - 01
EH3 5HW,55.961708,-3.204501,S01008857,Stockbridge - 01
EH3 5HX,55.961740,-3.207626,S01008857,Stockbridge - 01
EH3 5HY,55.961709,-3.208089,S01008857,Stockbridge - 01
EH3 5HZ,55.961669,-3.208536,S01008857,Stockbridge - 01
EH3 5JA,55.961628,-3.209048,S01008857,Stockbridge - 01
EH3 5JB,55.961015,-3.209221,S01008858,Stockbridge - 02
EH3 5JD,55.961605,-3.209480,S01008858,Stockbridge - 02
EH3 5JE,55.961565,-3.209927,S01008858,Stockbridge - 02
EH3 5JF,55.961480,-3.210341,S01008858,Stockbridge - 02
EH3 5JG,55.961421,-3.210835,S01008858,Stockbridge - 02
EH3 5JH,55.961229,-3.211166,S01008858,Stockbridge - 02
EH3 5JJ,55.960656,-3.210972,S01008858,Stockbridge - 02
EH3 5JN,55.962041,-3.205376,S01008857,Stockbridge - 01
EH3 5JP,55.962933,-3.200550,S01008838,Broughton North and Powderhall - 03
EH3 5JQ,55.961028,-3.210583,S01008858,Stockbridge - 02
EH3 5JU,55.966178,-3.202237,S01008834,"Inverleith, Goldenacre and Warriston - 03"
EH3 5JW,55.961992,-3.203933,S01008857,Stockbridge - 01
EH3 5JX,55.966879,-3.200320,S01008834,"Inverleith, Goldenacre and Warriston - 03"
EH3 5JY,55.965140,-3.202733,S01008834,"Inverleith, Goldenacre and Warriston - 03"
EH3 5JZ,55.963825,-3.201187,S01008838,Broughton North and Powderhall - 03
EH3 5LA,55.963558,-3.200009,S01008838,Broughton North and Powderhall - 03
EH3 5LB,55.964722,-3.199516,S01008838,Broughton North and Powderhall - 03
EH3 5LE,55.963178,-3.200222,S01008838,Broughton North and Powderhall - 03
EH3 5LF,55.962807,-3.199585,S01008838,Broughton North and Powderhall - 03
EH3 5LG,55.963262,-3.199023,S01008838,Broughton North and Powderhall - 03
EH3 5LH,55.962659,-3.199068,S01008856,Canonmills and New Town North - 04
EH3 5LJ,55.962900,-3.198355,S01008838,Broughton North and Powderhall - 03
EH3 5LL,55.964137,-3.198633,S01008838,Broughton North and Powderhall - 03
EH3 5LN,55.963676,-3.198010,S01008838,Broughton North and Powderhall - 03
EH3 5LP,55.964670,-3.202991,S01008834,"Inverleith, Goldenacre and Warriston - 03"
EH3 5LQ,55.963195,-3.198492,S01008838,Broughton North and Powderhall - 03
EH3 5LR,55.966663,-3.204991,S01008834,"Inverleith, Goldenacre and Warriston - 03"
EH3 5LS,55.965079,-3.203468,S01008834,"Inverleith, Goldenacre and Warriston - 03"
