Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code,LSOA Name,LSOA Code 2021,LSOA Name 2021
EH6 7LP,Yes,55.967011,-3.145902,328570,675482,NT285754,Craigentinny/Duddingston,,2016-05-01,,18,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008768,Western Harbour and Leith Docks - 01,S01014814,Western Harbour and Leith Docks - 01
EH6 7LQ,Yes,55.969226,-3.144365,328670,675727,NT286757,Craigentinny/Duddingston,,1980-01-01,,10,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008768,Western Harbour and Leith Docks - 01,S01014814,Western Harbour and Leith Docks - 01
EH6 7LR,No,55.972824,-3.157418,327862,676141,NT278761,Leith,,1980-01-01,2017-05-01,6,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008768,Western Harbour and Leith Docks - 01,S01014816,Western Harbour and Leith Docks - 01
EH6 7LS,Yes,55.967641,-3.146770,328517,675553,NT285755,Craigentinny/Duddingston,,2016-08-01,,8,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008768,Western Harbour and Leith Docks - 01,S01014814,Western Harbour and Leith Docks - 01
EH6 7LU,Yes,55.969992,-3.144132,328686,675812,NT286758,Leith,,1980-01-01,,8,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008768,Western Harbour and Leith Docks - 01,S01014814,Western Harbour and Leith Docks - 01
EH6 7LW,Yes,55.968280,-3.140813,328890,675618,NT288756,Craigentinny/Duddingston,,1980-01-01,,8,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008768,Western Harbour and Leith Docks - 01,S01014814,Western Harbour and Leith Docks - 01
EH6 7LX,Yes,55.969725,-3.159297,327739,675798,NT277757,Leith,,1980-01-01,,11,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008766,Leith (Hermitage and Prospect Bank) - 05,S01014812,Leith (Hermitage and Prospect Bank) - 05
EH6 7LY,Yes,55.969758,-3.158673,327778,675801,NT277758,Leith,,1980-01-01,,11,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008766,Leith (Hermitage and Prospect Bank) - 05,S01014812,Leith (Hermitage and Prospect Bank) - 05
EH6 7LZ,Yes,55.969025,-3.158218,327805,675719,NT278757,Leith,,1980-01-01,,15,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008765,Leith (Hermitage and Prospect Bank) - 04,S01014811,Leith (Hermitage and Prospect Bank) - 04
EH6 7NA,Yes,55.968595,-3.158077,327813,675671,NT278756,Leith,,1980-01-01,,17,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008765,Leith (Hermitage and Prospect Bank) - 04,S01014811,Leith (Hermitage and Prospect Bank) - 04
EH6 7NB,Yes,55.968916,-3.157366,327858,675706,NT278757,Leith,,1980-01-01,,15,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008765,Leith (Hermitage and Prospect Bank) - 04,S01014811,Leith (Hermitage and Prospect Bank) - 04
EH6 7ND,Yes,55.968662,-3.156733,327897,675677,NT278756,Leith,,1980-01-01,,15,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008766,Leith (Hermitage and Prospect Bank) - 05,S01014812,Leith (Hermitage and Prospect Bank) - 05
