Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code,LSOA Name,LSOA Code 2021,LSOA Name 2021
EH1 1AA,No,55.953646,-3.188108,325910,674040,NT259740,City Centre,,1980-01-01,1996-12-01,71,Scotland,2026-05-29,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,S01008676,"Old Town, Princes Street and Leith Street - 03",S01014713,"Old Town, Princes Street and Leith Street - 03"
EH1 1AD,Yes,55.948894,-3.192590,325621,673515,NT256735,City Centre,,2009-06-01,,95,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008674,"Old Town, Princes Street and Leith Street - 01",S01014710,"Old Town, Princes Street and Leith Street - 01"
EH1 1AE,Yes,55.949069,-3.189409,325820,673532,NT258735,City Centre,,2018-09-01,,87,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008678,"Old Town, Princes Street and Leith Street - 05",S01014714,"Old Town, Princes Street and Leith Street - 05"
EH1 1AF,No,55.960377,-3.176701,326635,674776,NT266747,Leith Walk,,2004-11-01,2009-04-01,29,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008806,Hillside and Calton Hill - 01,S01014855,Hillside and Calton Hill - 01
EH1 1AG,Yes,55.947170,-3.189735,325796,673321,NT257733,City Centre,,2024-04-01,,79,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008678,"Old Town, Princes Street and Leith Street - 05",S01014714,"Old Town, Princes Street and Leith Street - 05"
EH1 1AL,No,55.953209,-3.186813,325990,673989,NT259739,City Centre,,1986-12-01,1996-12-01,65,Scotland,2026-05-29,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,S01008676,"Old Town, Princes Street and Leith Street - 03",S01014713,"Old Town, Princes Street and Leith Street - 03"
EH1 1AN,No,55.953017,-3.188088,325910,673969,NT259739,City Centre,,1995-12-01,1996-12-01,68,Scotland,2026-05-29,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,S01008676,"Old Town, Princes Street and Leith Street - 03",S01014713,"Old Town, Princes Street and Leith Street - 03"
EH1 1AQ,No,55.952201,-3.188864,325860,673879,NT258738,City Centre,,1974-01-01,1976-08-01,65,Scotland,2026-05-29,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,S01008676,"Old Town, Princes Street and Leith Street - 03",S01014713,"Old Town, Princes Street and Leith Street - 03"
EH1 1BA,No,55.952027,-3.188218,325900,673859,NT258738,City Centre,,1990-12-01,1996-06-01,64,Scotland,2026-05-29,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,S01008676,"Old Town, Princes Street and Leith Street - 03",S01014713,"Old Town, Princes Street and Leith Street - 03"
EH1 1BB,Yes,55.951957,-3.189945,325792,673854,NT257738,City Centre,,1980-01-01,,63,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008676,"Old Town, Princes Street and Leith Street - 03",S01014713,"Old Town, Princes Street and Leith Street - 03"
EH1 1BD,No,55.952322,-3.187506,325945,673892,NT259738,City Centre,,1980-01-01,2017-09-01,62,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008676,"Old Town, Princes Street and Leith Street - 03",S01014713,"Old Town, Princes Street and Leith Street - 03"
EH1 1BE,Yes,55.951957,-3.189945,325792,673854,NT257738,City Centre,,1980-01-01,,62,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008676,"Old Town, Princes Street and Leith Street - 03",S01014713,"Old Town, Princes Street and Leith Street - 03"
EH1 1BG,No,55.951957,-3.189945,325792,673854,NT257738,City Centre,,1980-01-01,2007-10-01,62,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008676,"Old Town, Princes Street and Leith Street - 03",S01014713,"Old Town, Princes Street and Leith Street - 03"
EH1 1BJ,No,55.950806,-3.190951,325727,673726,NT257737,City Centre,,1980-01-01,2015-12-01,74,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008677,"Old Town, Princes Street and Leith Street - 04",S01014713,"Old Town, Princes Street and Leith Street - 04"
EH1 1BL,Yes,55.950646,-3.191731,325678,673710,NT256737,City Centre,,2012-04-01,,75,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008677,"Old Town, Princes Street and Leith Street - 04",S01014713,"Old Town, Princes Street and Leith Street - 04"
EH1 1BN,Yes,55.950778,-3.190150,325777,673723,NT257737,City Centre,,1992-01-01,,76,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008677,"Old Town, Princes Street and Leith Street - 04",S01014713,"Old Town, Princes Street and Leith Street - 04"
EH1 1BP,Yes,55.950732,-3.190276,325769,673718,NT257737,City Centre,,1980-01-01,,77,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008677,"Old Town, Princes Street and Leith Street - 04",S01014713,"Old Town, Princes Street and Leith Street - 04"
EH1 1BQ,Yes,55.952627,-3.191295,325709,673930,NT257739,City Centre,,1980-01-01,,69,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008677,"Old Town, Princes Street and Leith Street - 04",S01014713,"Old Town, Princes Street and Leith Street - 04"
EH1 1BR,No,55.951110,-3.190112,325780,673759,NT257737,City Centre,,1992-07-01,1994-12-01,70,Scotland,2026-05-29,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,S01008677,"Old Town, Princes Street and Leith Street - 04",S01014713,"Old Town, Princes Street and Leith Street - 04"
EH1 1BS,Yes,55.950716,-3.189139,325840,673715,NT258737,City Centre,,1980-01-01,,82,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008677,"Old Town, Princes Street and Leith Street - 04",S01014713,"Old Town, Princes Street and Leith Street - 04"
EH1 1BU,Yes,55.950587,-3.188494,325880,673699,NT258736,City Centre,,1980-01-01,,86,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008677,"Old Town, Princes Street and Leith Street - 04",S01014713,"Old Town, Princes Street and Leith Street - 04"
EH1 1BW,No,55.950665,-3.191571,325688,673711,NT256737,City Centre,,1980-01-01,1999-12-01,75,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008677,"Old Town, Princes Street and Leith Street - 04",S01014713,"Old Town, Princes Street and Leith Street - 04"
EH1 1BX,Yes,55.950871,-3.188887,325856,673732,NT258737,City Centre,,1980-01-01,,82,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008677,"Old Town, Princes Street and Leith Street - 04",S01014713,"Old Town, Princes Street and Leith Street - 04"
EH1 1BY,No,55.951031,-3.188988,325850,673749,NT258737,City Centre,,1973-08-01,1977-07-01,77,Scotland,2026-05-29,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,S01008677,"Old Town, Princes Street and Leith Street - 04",S01014713,"Old Town, Princes Street and Leith Street - 04"
EH1 1DA,No,55.949527,-3.187533,325938,673580,NT259735,City Centre,,1992-07-01,1999-06-01,82,Scotland,2026-05-29,Postcode sector mean (mainly PO Boxes),S01008679,"Old Town, Princes Street and Leith Street - 06",S01014715,"Old Town, Princes Street and Leith Street - 06"
EH1 1DD,Yes,55.949585,-3.187102,325965,673586,NT259735,City Centre,,2009-08-01,,82,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008679,"Old Town, Princes Street and Leith Street - 06",S01014715,"Old Town, Princes Street and Leith Street - 06"
EH1 1DE,Yes,55.951133,-3.188751,325865,673761,NT258737,City Centre,,1980-01-01,,75,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008677,"Old Town, Princes Street and Leith Street - 04",S01014713,"Old Town, Princes Street and Leith Street - 04"
EH1 1DF,Yes,55.951228,-3.189987,325788,673772,NT257737,City Centre,,1980-01-01,,68,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008677,"Old Town, Princes Street and Leith Street - 04",S01014713,"Old Town, Princes Street and Leith Street - 04"
EH1 1DG,No,55.951138,-3.186365,326014,673759,NT260737,City Centre,,1980-01-01,1998-12-01,68,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008677,"Old Town, Princes Street and Leith Street - 04",S01014713,"Old Town, Princes Street and Leith Street - 04"
EH1 1DH,Yes,55.951182,-3.185454,326071,673762,NT260737,City Centre,,1980-01-01,,67,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008677,"Old Town, Princes Street and Leith Street - 04",S01014713,"Old Town, Princes Street and Leith Street - 04"
EH1 1DJ,No,55.950893,-3.184660,326120,673729,NT261737,City Centre,,1992-07-01,1995-12-01,69,Scotland,2026-05-29,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,S01008677,"Old Town, Princes Street and Leith Street - 04",S01014713,"Old Town, Princes Street and Leith Street - 04"
EH1 1DN,No,55.951147,-3.186269,326020,673759,NT260737,City Centre,,1980-01-01,1995-12-01,68,Scotland,2026-05-29,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,S01008677,"Old Town, Princes Street and Leith Street - 04",S01014713,"Old Town, Princes Street and Leith Street - 04"
EH1 1DR,Yes,55.950929,-3.184693,326118,673733,NT261737,City Centre,,1980-01-01,,68,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008677,"Old Town, Princes Street and Leith Street - 04",S01014713,"Old Town, Princes Street and Leith Street - 04"
EH1 1DS,No,55.950893,-3.184660,326120,673729,NT261737,City Centre,,1994-02-01,1995-12-01,69,Scotland,2026-05-29,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,S01008677,"Old Town, Princes Street and Leith Street - 04",S01014713,"Old Town, Princes Street and Leith Street - 04"
EH1 1DT,Yes,55.950988,-3.184167,326151,673739,NT261737,City Centre,,1980-01-01,,66,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008677,"Old Town, Princes Street and Leith Street - 04",S01014713,"Old Town, Princes Street and Leith Street - 04"
EH1 1DU,No,55.950876,-3.186421,326010,673729,NT260737,City Centre,,1973-08-01,1983-03-01,73,Scotland,2026-05-29,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,S01008677,"Old Town, Princes Street and Leith Street - 04",S01014713,"Old Town, Princes Street and Leith Street - 04"
EH1 1DW,No,55.950988,-3.184183,326150,673739,NT261737,City Centre,,1973-08-01,1977-03-01,66,Scotland,2026-05-29,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,S01008677,"Old Town, Princes Street and Leith Street - 04",S01014713,"Old Town, Princes Street and Leith Street - 04"
EH1 1DY,No,55.976114,-3.183749,326225,676535,NT262765,Leith,,1980-01-01,2022-08-01,80,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008775,North Leith and Newhaven - 04,S01014826,North Leith and Newhaven - 04
EH1 1DZ,No,55.960377,-3.176701,326635,674776,NT266747,Leith Walk,,1990-12-01,2005-09-01,29,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008806,Hillside and Calton Hill - 01,S01014855,Hillside and Calton Hill - 01
EH1 1ED,No,55.945889,-3.190224,325763,673178,NT257731,City Centre,,1998-01-01,1998-07-01,93,Scotland,2026-05-29,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,S01008678,"Old Town, Princes Street and Leith Street - 05",S01014710,"Old Town, Princes Street and Leith Street - 05"
EH1 1EE,Yes,55.947964,-3.192113,325649,673411,NT256734,City Centre,,1980-01-01,,90,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008674,"Old Town, Princes Street and Leith Street - 01",S01014710,"Old Town, Princes Street and Leith Street - 01"
EH1 1EG,Yes,55.948446,-3.192512,325625,673466,NT256734,City Centre,,1980-01-01,,92,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008674,"Old Town, Princes Street and Leith Street - 01",S01014710,"Old Town, Princes Street and Leith Street - 01"
EH1 1EH,No,55.947777,-3.191979,325657,673390,NT256733,City Centre,,2004-01-01,2005-08-01,90,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008674,"Old Town, Princes Street and Leith Street - 01",S01014710,"Old Town, Princes Street and Leith Street - 01"
EH1 1EJ,Yes,55.947997,-3.191537,325685,673415,NT256734,City Centre,,1980-01-01,,91,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008674,"Old Town, Princes Street and Leith Street - 01",S01014710,"Old Town, Princes Street and Leith Street - 01"
EH1 1EL,Yes,55.947515,-3.191218,325704,673361,NT257733,City Centre,,1980-01-01,,91,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008678,"Old Town, Princes Street and Leith Street - 05",S01014714,"Old Town, Princes Street and Leith Street - 05"
EH1 1EN,Yes,55.947492,-3.191714,325673,673358,NT256733,City Centre,,1980-01-01,,90,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008678,"Old Town, Princes Street and Leith Street - 05",S01014714,"Old Town, Princes Street and Leith Street - 05"
EH1 1EP,No,55.947553,-3.191876,325663,673365,NT256733,City Centre,,1990-12-01,2009-04-01,90,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008674,"Old Town, Princes Street and Leith Street - 01",S01014714,"Old Town, Princes Street and Leith Street - 01"
EH1 1ES,No,55.976114,-3.183749,326225,676535,NT262765,Leith,,1980-01-01,2025-05-01,91,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008775,North Leith and Newhaven - 04,S01014826,North Leith and Newhaven - 04
EH1 1ET,No,55.949527,-3.187533,325938,673580,NT259735,City Centre,,2001-01-01,2001-02-01,82,Scotland,2026-05-29,Postcode sector mean (mainly PO Boxes),S01008679,"Old Town, Princes Street and Leith Street - 06",S01014715,"Old Town, Princes Street and Leith Street - 06"
EH1 1EU,No,55.946348,-3.190126,325770,673229,NT257732,City Centre,,1973-08-01,1977-03-01,95,Scotland,2026-05-29,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,S01008678,"Old Town, Princes Street and Leith Street - 05",S01014714,"Old Town, Princes Street and Leith Street - 05"
EH1 1EW,No,55.948604,-3.191892,325664,673482,NT256734,City Centre,,1980-01-01,2010-09-01,93,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008674,"Old Town, Princes Street and Leith Street - 01",S01014710,"Old Town, Princes Street and Leith Street - 01"
EH1 1EX,No,55.946438,-3.190128,325770,673239,NT257732,City Centre,,1973-08-01,1977-03-01,96,Scotland,2026-05-29,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,S01008678,"Old Town, Princes Street and Leith Street - 05",S01014714,"Old Town, Princes Street and Leith Street - 05"
EH1 1EY,Yes,55.946527,-3.190179,325767,673249,NT257732,City Centre,,1980-01-01,,96,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008678,"Old Town, Princes Street and Leith Street - 05",S01014714,"Old Town, Princes Street and Leith Street - 05"
EH1 1EZ,Yes,55.945884,-3.189839,325787,673178,NT257731,City Centre,,1980-01-01,,93,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008678,"Old Town, Princes Street and Leith Street - 05",S01014710,"Old Town, Princes Street and Leith Street - 05"
EH1 1HA,Yes,55.945884,-3.189839,325787,673178,NT257731,City Centre,,1980-01-01,,93,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008678,"Old Town, Princes Street and Leith Street - 05",S01014710,"Old Town, Princes Street and Leith Street - 05"
EH1 1HB,Yes,55.946113,-3.189334,325819,673202,NT258732,City Centre,,1980-01-01,,94,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008678,"Old Town, Princes Street and Leith Street - 05",S01014714,"Old Town, Princes Street and Leith Street - 05"
EH1 1HD,Yes,55.946565,-3.189124,325833,673253,NT258732,City Centre,,1980-01-01,,95,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008678,"Old Town, Princes Street and Leith Street - 05",S01014714,"Old Town, Princes Street and Leith Street - 05"
EH1 1HE,Yes,55.946495,-3.188929,325845,673245,NT258732,City Centre,,1980-01-01,,95,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008678,"Old Town, Princes Street and Leith Street - 05",S01014714,"Old Town, Princes Street and Leith Street - 05"
EH1 1HF,No,55.960377,-3.176701,326635,674776,NT266747,Leith Walk,,1994-10-01,2004-01-01,29,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008806,Hillside and Calton Hill - 01,S01014855,Hillside and Calton Hill - 01
EH1 1HJ,Yes,55.948468,-3.187420,325943,673463,NT259734,City Centre,,2014-08-01,,82,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008679,"Old Town, Princes Street and Leith Street - 06",S01014715,"Old Town, Princes Street and Leith Street - 06"
EH1 1HN,Yes,55.948902,-3.187114,325963,673510,NT259735,City Centre,,1980-01-01,,80,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008679,"Old Town, Princes Street and Leith Street - 06",S01014715,"Old Town, Princes Street and Leith Street - 06"
EH1 1HP,No,55.948442,-3.187308,325950,673459,NT259734,City Centre,,1974-01-01,1976-08-01,82,Scotland,2026-05-29,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,S01008679,"Old Town, Princes Street and Leith Street - 06",S01014715,"Old Town, Princes Street and Leith Street - 06"
EH1 1HR,Yes,55.948165,-3.187123,325961,673428,NT259734,City Centre,,1980-01-01,,85,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008679,"Old Town, Princes Street and Leith Street - 06",S01014715,"Old Town, Princes Street and Leith Street - 06"
EH1 1HS,No,55.948000,-3.188399,325881,673411,NT258734,City Centre,,1980-01-01,2012-06-01,87,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008678,"Old Town, Princes Street and Leith Street - 05",S01014715,"Old Town, Princes Street and Leith Street - 05"
EH1 1HT,Yes,55.947994,-3.188111,325899,673410,NT258734,City Centre,,1980-01-01,,87,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008678,"Old Town, Princes Street and Leith Street - 05",S01014715,"Old Town, Princes Street and Leith Street - 05"
EH1 1HU,Yes,55.947401,-3.190847,325727,673347,NT257733,City Centre,,1980-01-01,,92,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008678,"Old Town, Princes Street and Leith Street - 05",S01014714,"Old Town, Princes Street and Leith Street - 05"
EH1 1HW,No,55.947787,-3.190010,325780,673389,NT257733,City Centre,,1973-08-01,1976-11-01,90,Scotland,2026-05-29,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,S01008678,"Old Town, Princes Street and Leith Street - 05",S01014714,"Old Town, Princes Street and Leith Street - 05"
EH1 1HX,No,55.947696,-3.190167,325770,673380,NT257733,City Centre,,1980-01-01,1995-02-01,91,Scotland,2026-05-29,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,S01008678,"Old Town, Princes Street and Leith Street - 05",S01014714,"Old Town, Princes Street and Leith Street - 05"
EH1 1HZ,No,55.947877,-3.190012,325780,673400,NT257733,City Centre,,1973-08-01,1976-11-01,90,Scotland,2026-05-29,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,S01008678,"Old Town, Princes Street and Leith Street - 05",S01014714,"Old Town, Princes Street and Leith Street - 05"
EH1 1JA,No,55.947382,-3.190958,325720,673345,NT257733,City Centre,,1980-01-01,1998-12-01,92,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008678,"Old Town, Princes Street and Leith Street - 05",S01014714,"Old Town, Princes Street and Leith Street - 05"
EH1 1JB,No,55.947345,-3.191133,325709,673342,NT257733,City Centre,,1980-01-01,2012-07-01,91,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008678,"Old Town, Princes Street and Leith Street - 05",S01014714,"Old Town, Princes Street and Leith Street - 05"
EH1 1JD,No,55.948520,-3.187630,325930,673469,NT259734,City Centre,,1994-02-01,2004-10-01,81,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008678,"Old Town, Princes Street and Leith Street - 05",S01014714,"Old Town, Princes Street and Leith Street - 05"
EH1 1JF,Yes,55.947170,-3.189735,325796,673321,NT257733,City Centre,,1980-01-01,,94,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008678,"Old Town, Princes Street and Leith Street - 05",S01014714,"Old Town, Princes Street and Leith Street - 05"
EH1 1JG,Yes,55.948262,-3.188231,325892,673440,NT258734,City Centre,,1980-01-01,,84,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008678,"Old Town, Princes Street and Leith Street - 05",S01014714,"Old Town, Princes Street and Leith Street - 05"
EH1 1JH,Yes,55.948485,-3.188398,325882,673465,NT258734,City Centre,,1989-10-01,,82,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008678,"Old Town, Princes Street and Leith Street - 05",S01014714,"Old Town, Princes Street and Leith Street - 05"
EH1 1JJ,Yes,55.948748,-3.188134,325899,673494,NT258734,City Centre,,1980-01-01,,81,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008678,"Old Town, Princes Street and Leith Street - 05",S01014714,"Old Town, Princes Street and Leith Street - 05"
EH1 1JL,No,55.948600,-3.189554,325810,673479,NT258734,City Centre,,1980-01-01,2000-06-01,87,Scotland,2026-05-29,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,S01008678,"Old Town, Princes Street and Leith Street - 05",S01014714,"Old Town, Princes Street and Leith Street - 05"
EH1 1JN,Yes,55.948528,-3.190513,325750,673472,NT257734,City Centre,,1980-01-01,,90,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008678,"Old Town, Princes Street and Leith Street - 05",S01014710,"Old Town, Princes Street and Leith Street - 05"
EH1 1JP,No,55.960377,-3.176701,326635,674776,NT266747,Leith Walk,,1994-02-01,2004-01-01,29,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008806,Hillside and Calton Hill - 01,S01014855,Hillside and Calton Hill - 01
EH1 1JQ,Yes,55.948604,-3.187313,325950,673478,NT259734,City Centre,,1992-10-01,,81,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008679,"Old Town, Princes Street and Leith Street - 06",S01014715,"Old Town, Princes Street and Leith Street - 06"
EH1 1JR,Yes,55.947979,-3.192498,325625,673414,NT256734,City Centre,,1980-01-01,,88,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008674,"Old Town, Princes Street and Leith Street - 01",S01014710,"Old Town, Princes Street and Leith Street - 01"
EH1 1JS,Yes,55.948414,-3.189292,325826,673459,NT258734,City Centre,,1996-06-01,,89,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008678,"Old Town, Princes Street and Leith Street - 05",S01014714,"Old Town, Princes Street and Leith Street - 05"
EH1 1JT,Yes,55.948386,-3.189388,325820,673455,NT258734,City Centre,,1996-06-01,,86,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008678,"Old Town, Princes Street and Leith Street - 05",S01014714,"Old Town, Princes Street and Leith Street - 05"
EH1 1JU,Yes,55.947939,-3.193809,325543,673410,NT255734,City Centre,,2004-10-01,,86,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008674,"Old Town, Princes Street and Leith Street - 01",S01014710,"Old Town, Princes Street and Leith Street - 01"
EH1 1JW,Yes,55.948194,-3.191591,325682,673436,NT256734,City Centre,,1980-01-01,,92,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008678,"Old Town, Princes Street and Leith Street - 05",S01014714,"Old Town, Princes Street and Leith Street - 05"
EH1 1JX,Yes,55.948166,-3.192599,325619,673434,NT256734,City Centre,,1980-01-01,,90,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008674,"Old Town, Princes Street and Leith Street - 01",S01014710,"Old Town, Princes Street and Leith Street - 01"
EH1 1JY,Yes,55.947705,-3.193818,325542,673384,NT255733,City Centre,,1980-01-01,,85,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008674,"Old Town, Princes Street and Leith Street - 01",S01014710,"Old Town, Princes Street and Leith Street - 01"
EH1 1JZ,Yes,55.947905,-3.188973,325845,673402,NT258734,City Centre,,1980-01-01,,88,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008678,"Old Town, Princes Street and Leith Street - 05",S01014714,"Old Town, Princes Street and Leith Street - 05"
EH1 1LA,Yes,55.947915,-3.190750,325734,673405,NT257734,City Centre,,1994-02-01,,91,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008674,"Old Town, Princes Street and Leith Street - 01",S01014714,"Old Town, Princes Street and Leith Street - 01"
EH1 1LB,Yes,55.947915,-3.190750,325734,673405,NT257734,City Centre,,1994-02-01,,91,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008674,"Old Town, Princes Street and Leith Street - 01",S01014714,"Old Town, Princes Street and Leith Street - 01"
EH1 1LD,Yes,55.947915,-3.190750,325734,673405,NT257734,City Centre,,1994-02-01,,91,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008674,"Old Town, Princes Street and Leith Street - 01",S01014714,"Old Town, Princes Street and Leith Street - 01"
EH1 1LG,Yes,55.949282,-3.186853,325980,673552,NT259735,City Centre,,1980-01-01,,79,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008679,"Old Town, Princes Street and Leith Street - 06",S01014715,"Old Town, Princes Street and Leith Street - 06"
EH1 1LJ,No,55.949526,-3.186700,325990,673579,NT259735,City Centre,,1973-08-01,1977-03-01,81,Scotland,2026-05-29,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,S01008679,"Old Town, Princes Street and Leith Street - 06",S01014715,"Old Town, Princes Street and Leith Street - 06"
EH1 1LL,Yes,55.948897,-3.186697,325989,673509,NT259735,City Centre,,1980-01-01,,80,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008679,"Old Town, Princes Street and Leith Street - 06",S01014715,"Old Town, Princes Street and Leith Street - 06"
EH1 1LN,No,55.949521,-3.187181,325960,673579,NT259735,City Centre,,1973-08-01,1976-05-01,82,Scotland,2026-05-29,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,S01008679,"Old Town, Princes Street and Leith Street - 06",S01014715,"Old Town, Princes Street and Leith Street - 06"
EH1 1LP,No,55.949074,-3.187007,325970,673529,NT259735,City Centre,,1980-01-01,1995-12-01,80,Scotland,2026-05-29,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,S01008679,"Old Town, Princes Street and Leith Street - 06",S01014715,"Old Town, Princes Street and Leith Street - 06"
EH1 1LQ,No,55.950426,-3.186568,326000,673679,NT259736,City Centre,,1973-08-01,1992-07-01,79,Scotland,2026-05-29,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,S01008677,"Old Town, Princes Street and Leith Street - 04",S01014713,"Old Town, Princes Street and Leith Street - 04"
EH1 1LR,No,55.949074,-3.187007,325970,673529,NT259735,City Centre,,1973-08-01,1992-07-01,80,Scotland,2026-05-29,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,S01008679,"Old Town, Princes Street and Leith Street - 06",S01014715,"Old Town, Princes Street and Leith Street - 06"
EH1 1LS,Yes,55.947842,-3.186168,326020,673391,NT260733,City Centre,,1980-01-01,,88,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008679,"Old Town, Princes Street and Leith Street - 06",S01014715,"Old Town, Princes Street and Leith Street - 06"
EH1 1LT,Yes,55.948084,-3.185279,326076,673417,NT260734,City Centre,,1980-01-01,,81,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008679,"Old Town, Princes Street and Leith Street - 06",S01014715,"Old Town, Princes Street and Leith Street - 06"
